step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.919022670682699,0,0.0,0.9454183974833724,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,12.524000877073906,0,0.0,0.9920237103579304,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,12.354087770592361,0,0.0,0.978574560329402,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.387480327332973,0,0.0,0.8883800995684991,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.109106570494797,0,0.0,0.913163120674457,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.860448211517811,0,0.0,0.9749352894056361,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.734168549276015,0,0.0,0.9681482226411049,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.936103774837633,0,0.0,0.9839572822832127,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.362519000483406,0,0.0,0.9458229635750759,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.395983549795512,0,0.0,0.9523496297689744,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.525752720242032,0,0.0,0.9627540402333258,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,13.757736272093526,0,0.0,0.9792697419178422,0,0.0
75.0,14,0,1,0,14,0,1.0,0.07142857142857142,11.321478654561817,1,1.0,0.8978049992471481,1,1.0
80.0,14,0,1,0,14,0,6.0,0.42857142857142855,11.867437305363953,1,6.0,0.8987230231511797,1,6.0
85.0,16,0,0,0,16,0,0.0,0.0,11.92215375096775,0,10.0,0.8783094741211988,0,10.0
90.0,16,0,0,0,16,0,0.0,0.0,12.860444344370567,0,0.0,0.9828916490165313,0,0.0
95.0,19,1,0,0,19,0,0.0,0.0,12.589225271705867,0,0.0,0.9386240890023353,0,0.0
100.0,24,0,0,0,24,0,0.0,0.0,12.454260729475711,0,0.0,0.8951512385855899,0,0.0
